organism,seedid,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,ncbiid,platform,kingdom,phylum,class,order,family,genus,species,file,strain,kbaseid,id,summary_rank
Bacillus pseudofirmus  OF4,Bacillus pseudofirmus OF4 (398511.4),Aerobe,Respiration or fermentation of carbohydrates and central metabolism intermediates,Positive,,1018.0,1498.0,1112.0,Laura Kutt,04/17/16,398511.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,Alkalihalobacillus pseudofirmus,Alkalihalobacillus_pseudofirmus.json,Bacillus pseudofirmus  OF4,kb|g.1270,Alkalihalobacillus_pseudofirmus,species
Alloprevotella tannerae ATCC 51259,,Obligate anaerobe,"Saccharolytic, fermentative",Negative,,809.0,893.0,770.0,Laura Kutt,04/17/16,626522.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella tannerae,Alloprevotella_tannerae.json,Alloprevotella tannerae ATCC 51259,kb|g.2651,Alloprevotella_tannerae,species
Eubacterium dolichum DSM 3991,Eubacterium dolichum DSM 3991 (428127.7),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,516.0,1553.0,1046.0,Ines Thiele,09/06/12,428127.0,Kbase,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus,Amedibacillus dolichus,Amedibacillus_dolichus.json,Eubacterium dolichum DSM 3991,,Amedibacillus_dolichus,species
Anaerobiospirillum succiniciproducens DSM 640001,,Anaerobe,Asaccharolytic,Negative,,563.0,1127.0,919.0,Laura Kutt,04/19/16,1120988.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,Anaerobiospirillum_succiniciproducens.json,Anaerobiospirillum succiniciproducens DSM 640001,kb|g.207031,Anaerobiospirillum_succiniciproducens,species
Eubacterium hallii DSM 3353,Eubacterium hallii DSM 3353 (411469.3),Obligate anaerobe,"Saccharolytic, fermentative, acetate and lactate converted to butyrate",Positive,Commensal,686.0,1647.0,1189.0,Ines Thiele,04/20/12,411469.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii,Anaerobutyricum_hallii.json,Eubacterium hallii DSM 3353,,Anaerobutyricum_hallii,species
Eubacterium hallii L2-7,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,670.0,1177.0,940.0,Laura Kutt,04/18/16,411487.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum soehngenii,Anaerobutyricum_soehngenii.json,Eubacterium hallii L2-7,kb|g.1364,Anaerobutyricum_soehngenii,species
Anaerococcus hydrogenalis DSM 7454,Anaerococcus hydrogenalis DSM 7454 (561177.4),Obligate anaerobe,"Weakly saccharolytic, fermentative",Positive,Commensal,582.0,873.0,696.0,Ines Thiele,06/29/12,561177.0,Kbase,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus hydrogenalis,Anaerococcus_hydrogenalis.json,Anaerococcus hydrogenalis DSM 7454,,Anaerococcus_hydrogenalis,species
Anaerococcus prevotii DSM 20548,Anaerococcus prevoti prevotii DSM 20548 (525919.4),Obligate anaerobe,"Saccharolytic, fermentative",Positive,,537.0,1060.0,809.0,Laura Kutt,04/18/16,525919.0,Kbase,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus prevotii,Anaerococcus_prevotii.json,Anaerococcus prevotii DSM 20548,kb|g.2043,Anaerococcus_prevotii,species
Anaerococcus vaginalis ATCC 51170,Anaerococcus vaginalis ATCC 51170 (655811.4),Obligate anaerobe,"Saccharolytic, fermentative",Positive,,515.0,1119.0,859.0,Laura Kutt,04/18/16,655811.0,Kbase,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus vaginalis,Anaerococcus_vaginalis.json,Anaerococcus vaginalis ATCC 51170,kb|g.2788,Anaerococcus_vaginalis,species
Anaerofustis stercorihominis DSM 17244,Anaerofustis stercorihominis DSM 17244 (445971.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,587.0,986.0,847.0,Eugen Bauer,08/03/14,445971.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis,Anaerofustis stercorihominis,Anaerofustis_stercorihominis.json,Anaerofustis stercorihominis DSM 17244,,Anaerofustis_stercorihominis,species
,,Obligate anaerobe,,Positive,Commensal,,,,Ines Thiele,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes caccae,Anaerostipes_caccae.json,,,Anaerostipes_caccae,species
Anaerostipes hadrus DSM 3319,Anaerostipes hadrus DSM 3319 (649757.3),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,812.0,1704.0,1227.0,chenry,09/10/14,649757.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,Anaerostipes_hadrus.json,Anaerostipes hadrus DSM 3319,kb|g.32259,Anaerostipes_hadrus,species
Anaerotruncus colihominis DSM 17241,Anaerotruncus colihominis DSM 17241 (445972.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,754.0,1090.0,887.0,Ines Thiele,04/20/12,445972.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,Anaerotruncus colihominis,Anaerotruncus_colihominis.json,Anaerotruncus colihominis DSM 17241,,Anaerotruncus_colihominis,species
Aneurinibacillus aneurinilyticus ATCC 12856,,Aerobe,Saccharolytic,Positive,,1076.0,1510.0,1142.0,Laura Kutt,04/18/16,649747.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,Aneurinibacillus aneurinilyticus,Aneurinibacillus_aneurinilyticus.json,Aneurinibacillus aneurinilyticus ATCC 12856,kb|g.216026,Aneurinibacillus_aneurinilyticus,species
Arcanobacterium haemolyticum DSM 20595,Arcanobacterium haemolyticum DSM 20595 (644284.3),Facultative anaerobe,"Saccharolytic, fermentative",Positive,Opportunistic pathogen,510.0,1056.0,847.0,chenry,04/15/16,644284.0,Kbase,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium haemolyticum,Arcanobacterium_haemolyticum.json,Arcanobacterium haemolyticum DSM 20595,kb|g.2746,Arcanobacterium_haemolyticum,species
Arcobacter butzleri RM4018,Arcobacter butzleri RM4018 (367737.4),Microaerophile,"Non-fermentative, asaccharolytic",Negative,,634.0,1081.0,902.0,Laura Kutt,04/18/16,367737.0,Kbase,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,Arcobacter butzleri,Arcobacter_butzleri.json,Arcobacter butzleri RM4018,kb|g.1095,Arcobacter_butzleri,species
Arthrobacter castelli DSM 16402,,Aerobe,"Asaccharolytic, nonfermentative",Positive,Uncharacterized,1019.0,1428.0,1109.0,chenry,04/15/16,1121019.0,Kbase,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter castelli,Arthrobacter_castelli.json,Arthrobacter castelli DSM 16402,kb|g.207043,Arthrobacter_castelli,species
Escherichia hermannii NBRC 105704,Escherichia hermannii NBRC 105704 (1115512.3),Facultative anaerobe,"Fermentative, respiratory",Negative,Commensal,1264.0,1693.0,1177.0,Laura Kutt,04/18/16,1115512.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Atlantibacter,Atlantibacter hermannii,Atlantibacter_hermannii.json,Escherichia hermannii NBRC 105704,kb|g.24323,Atlantibacter_hermannii,species
Atopobium minutum 10063974,Atopobium minutum 10063974 (997872.3),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Opportunistic pathogen,468.0,1007.0,807.0,chenry,04/15/16,997872.0,Kbase,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium minutum,Atopobium_minutum.json,Atopobium minutum 10063974,kb|g.32451,Atopobium_minutum,species
Bacillus altitudinis 41KF2b,,Facultative anaerobe,Respiration or fermentation of carbohydrates and central metabolism intermediates,Positive,,969.0,1603.0,1153.0,Laura Kutt,04/17/16,1178544.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus altitudinis,Bacillus_altitudinis.json,Bacillus altitudinis 41KF2b,kb|g.239788,Bacillus_altitudinis,species
,Bacillus amyloliquefaciens DSM7 (692420.6),Aerobe,Respiration or fermentation of carbohydrates and central metabolism intermediates,Positive,,,,,,,,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens,Bacillus_amyloliquefaciens.json,,,Bacillus_amyloliquefaciens,species
Bacillus atrophaeus ATCC 49822-1,Bacillus atrophaeus ATCC 49822-1 (743710.3),Aerobe,Respiration or fermentation of carbohydrates and central metabolism intermediates,Positive,,1143.0,1665.0,1177.0,Laura Kutt,04/17/16,743710.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus atrophaeus,Bacillus_atrophaeus.json,Bacillus atrophaeus ATCC 49822-1,kb|g.3133,Bacillus_atrophaeus,species
,,Facultative anaerobe,Respiration or fermentation of carbohydrates and central metabolism intermediates,Positive,Commensal,,,,Eugen Bauer,08/03/14,,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,Bacillus_cereus.json,,,Bacillus_cereus,species
Bacillus endophyticus 2102,Bacillus endophyticus 2102 (1196029.3),Aerobe,Respiration or fermentation of carbohydrates and central metabolism intermediates,Positive,,1440.0,1733.0,1226.0,Laura Kutt,04/17/16,1196029.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus endophyticus,Bacillus_endophyticus.json,Bacillus endophyticus 2102,kb|g.25385,Bacillus_endophyticus,species
