"Sample
Number",Unique Sample ID,Sample Matrix ,Treatment,"Time 
Point",Subject or Animal ID,Analyte,Result,Units,LLOQ,ULOQ,Comment
32,K2,feces,inulin,T0,Donor B,2-Methylbutyric acid,8.92,µg/mL,5,2000,
33,K3,feces,inulin,T0,Donor B,2-Methylbutyric acid,9.06,µg/mL,5,2000,
34,L1,feces,inulin,T1,Donor B,2-Methylbutyric acid,10.7,µg/mL,5,2000,
35,L2,feces,inulin,T1,Donor B,2-Methylbutyric acid,11.2,µg/mL,5,2000,
36,L3,feces,inulin,T1,Donor B,2-Methylbutyric acid,13.5,µg/mL,5,2000,
1,A1,feces,PBS,T0,Donor A,Acetic acid,266.0,µg/mL,50,20000,
2,A2,feces,PBS,T0,Donor A,Acetic acid,297.0,µg/mL,50,20000,
3,A3,feces,PBS,T0,Donor A,Acetic acid,285.0,µg/mL,50,20000,
4,B1,feces,PBS,T1,Donor A,Acetic acid,864.0,µg/mL,50,20000,
5,B2,feces,PBS,T1,Donor A,Acetic acid,748.0,µg/mL,50,20000,
6,B3,feces,PBS,T1,Donor A,Acetic acid,760.0,µg/mL,50,20000,
7,C1,feces,tryptophan,T0,Donor A,Acetic acid,287.0,µg/mL,50,20000,
8,C2,feces,tryptophan,T0,Donor A,Acetic acid,294.0,µg/mL,50,20000,
9,C3,feces,tryptophan,T0,Donor A,Acetic acid,268.0,µg/mL,50,20000,
10,D1,feces,tryptophan,T1,Donor A,Acetic acid,755.0,µg/mL,50,20000,
11,D2,feces,tryptophan,T1,Donor A,Acetic acid,752.0,µg/mL,50,20000,
12,D3,feces,tryptophan,T1,Donor A,Acetic acid,709.0,µg/mL,50,20000,
13,E1,feces,inulin,T0,Donor A,Acetic acid,325.0,µg/mL,50,20000,
14,E2,feces,inulin,T0,Donor A,Acetic acid,335.0,µg/mL,50,20000,
15,E3,feces,inulin,T0,Donor A,Acetic acid,343.0,µg/mL,50,20000,
16,F1,feces,inulin,T1,Donor A,Acetic acid,2520.0,µg/mL,50,20000,
17,F2,feces,inulin,T1,Donor A,Acetic acid,2530.0,µg/mL,50,20000,
18,F3,feces,inulin,T1,Donor A,Acetic acid,2530.0,µg/mL,50,20000,
19,G1,feces,PBS,T0,Donor B,Acetic acid,401.0,µg/mL,50,20000,
20,G2,feces,PBS,T0,Donor B,Acetic acid,413.0,µg/mL,50,20000,
21,G3,feces,PBS,T0,Donor B,Acetic acid,377.0,µg/mL,50,20000,
22,H1,feces,PBS,T1,Donor B,Acetic acid,1020.0,µg/mL,50,20000,
23,H2,feces,PBS,T1,Donor B,Acetic acid,1040.0,µg/mL,50,20000,
24,H3,feces,PBS,T1,Donor B,Acetic acid,1080.0,µg/mL,50,20000,
25,I1,feces,tryptophan,T0,Donor B,Acetic acid,442.0,µg/mL,50,20000,
26,I2,feces,tryptophan,T0,Donor B,Acetic acid,444.0,µg/mL,50,20000,
27,I3,feces,tryptophan,T0,Donor B,Acetic acid,451.0,µg/mL,50,20000,
28,J1,feces,tryptophan,T1,Donor B,Acetic acid,1030.0,µg/mL,50,20000,
29,J2,feces,tryptophan,T1,Donor B,Acetic acid,1050.0,µg/mL,50,20000,
30,J3,feces,tryptophan,T1,Donor B,Acetic acid,1040.0,µg/mL,50,20000,
31,K1,feces,inulin,T0,Donor B,Acetic acid,592.0,µg/mL,50,20000,
32,K2,feces,inulin,T0,Donor B,Acetic acid,594.0,µg/mL,50,20000,
33,K3,feces,inulin,T0,Donor B,Acetic acid,620.0,µg/mL,50,20000,
34,L1,feces,inulin,T1,Donor B,Acetic acid,2810.0,µg/mL,50,20000,
35,L2,feces,inulin,T1,Donor B,Acetic acid,2870.0,µg/mL,50,20000,
36,L3,feces,inulin,T1,Donor B,Acetic acid,2840.0,µg/mL,50,20000,
1,A1,feces,PBS,T0,Donor A,Butyric acid,76.2,µg/mL,25,10000,
2,A2,feces,PBS,T0,Donor A,Butyric acid,71.2,µg/mL,25,10000,
3,A3,feces,PBS,T0,Donor A,Butyric acid,77.0,µg/mL,25,10000,
4,B1,feces,PBS,T1,Donor A,Butyric acid,172.0,µg/mL,25,10000,
5,B2,feces,PBS,T1,Donor A,Butyric acid,167.0,µg/mL,25,10000,
6,B3,feces,PBS,T1,Donor A,Butyric acid,176.0,µg/mL,25,10000,
7,C1,feces,tryptophan,T0,Donor A,Butyric acid,74.9,µg/mL,25,10000,
8,C2,feces,tryptophan,T0,Donor A,Butyric acid,74.6,µg/mL,25,10000,
9,C3,feces,tryptophan,T0,Donor A,Butyric acid,71.3,µg/mL,25,10000,
10,D1,feces,tryptophan,T1,Donor A,Butyric acid,186.0,µg/mL,25,10000,
11,D2,feces,tryptophan,T1,Donor A,Butyric acid,183.0,µg/mL,25,10000,
12,D3,feces,tryptophan,T1,Donor A,Butyric acid,192.0,µg/mL,25,10000,
13,E1,feces,inulin,T0,Donor A,Butyric acid,108.0,µg/mL,25,10000,
14,E2,feces,inulin,T0,Donor A,Butyric acid,108.0,µg/mL,25,10000,
15,E3,feces,inulin,T0,Donor A,Butyric acid,116.0,µg/mL,25,10000,
16,F1,feces,inulin,T1,Donor A,Butyric acid,1720.0,µg/mL,25,10000,
17,F2,feces,inulin,T1,Donor A,Butyric acid,1610.0,µg/mL,25,10000,
18,F3,feces,inulin,T1,Donor A,Butyric acid,1700.0,µg/mL,25,10000,
19,G1,feces,PBS,T0,Donor B,Butyric acid,154.0,µg/mL,25,10000,
20,G2,feces,PBS,T0,Donor B,Butyric acid,146.0,µg/mL,25,10000,
21,G3,feces,PBS,T0,Donor B,Butyric acid,153.0,µg/mL,25,10000,
22,H1,feces,PBS,T1,Donor B,Butyric acid,421.0,µg/mL,25,10000,
23,H2,feces,PBS,T1,Donor B,Butyric acid,451.0,µg/mL,25,10000,
24,H3,feces,PBS,T1,Donor B,Butyric acid,428.0,µg/mL,25,10000,
25,I1,feces,tryptophan,T0,Donor B,Butyric acid,163.0,µg/mL,25,10000,
26,I2,feces,tryptophan,T0,Donor B,Butyric acid,164.0,µg/mL,25,10000,
27,I3,feces,tryptophan,T0,Donor B,Butyric acid,165.0,µg/mL,25,10000,
28,J1,feces,tryptophan,T1,Donor B,Butyric acid,463.0,µg/mL,25,10000,
29,J2,feces,tryptophan,T1,Donor B,Butyric acid,473.0,µg/mL,25,10000,
30,J3,feces,tryptophan,T1,Donor B,Butyric acid,478.0,µg/mL,25,10000,
31,K1,feces,inulin,T0,Donor B,Butyric acid,255.0,µg/mL,25,10000,
32,K2,feces,inulin,T0,Donor B,Butyric acid,250.0,µg/mL,25,10000,
33,K3,feces,inulin,T0,Donor B,Butyric acid,257.0,µg/mL,25,10000,
34,L1,feces,inulin,T1,Donor B,Butyric acid,2030.0,µg/mL,25,10000,
35,L2,feces,inulin,T1,Donor B,Butyric acid,2110.0,µg/mL,25,10000,
36,L3,feces,inulin,T1,Donor B,Butyric acid,2130.0,µg/mL,25,10000,
1,A1,feces,PBS,T0,Donor A,Hexanoic acid,12.5,µg/mL,1,400,
2,A2,feces,PBS,T0,Donor A,Hexanoic acid,11.7,µg/mL,1,400,
3,A3,feces,PBS,T0,Donor A,Hexanoic acid,11.8,µg/mL,1,400,
4,B1,feces,PBS,T1,Donor A,Hexanoic acid,49.8,µg/mL,1,400,
5,B2,feces,PBS,T1,Donor A,Hexanoic acid,52.8,µg/mL,1,400,
6,B3,feces,PBS,T1,Donor A,Hexanoic acid,46.4,µg/mL,1,400,
7,C1,feces,tryptophan,T0,Donor A,Hexanoic acid,15.5,µg/mL,1,400,
8,C2,feces,tryptophan,T0,Donor A,Hexanoic acid,15.1,µg/mL,1,400,
9,C3,feces,tryptophan,T0,Donor A,Hexanoic acid,14.2,µg/mL,1,400,
10,D1,feces,tryptophan,T1,Donor A,Hexanoic acid,44.8,µg/mL,1,400,
11,D2,feces,tryptophan,T1,Donor A,Hexanoic acid,46.1,µg/mL,1,400,
12,D3,feces,tryptophan,T1,Donor A,Hexanoic acid,43.1,µg/mL,1,400,
13,E1,feces,inulin,T0,Donor A,Hexanoic acid,12.7,µg/mL,1,400,
14,E2,feces,inulin,T0,Donor A,Hexanoic acid,12.7,µg/mL,1,400,
15,E3,feces,inulin,T0,Donor A,Hexanoic acid,13.1,µg/mL,1,400,
16,F1,feces,inulin,T1,Donor A,Hexanoic acid,193.0,µg/mL,1,400,
17,F2,feces,inulin,T1,Donor A,Hexanoic acid,203.0,µg/mL,1,400,
18,F3,feces,inulin,T1,Donor A,Hexanoic acid,202.0,µg/mL,1,400,
19,G1,feces,PBS,T0,Donor B,Hexanoic acid,49.4,µg/mL,1,400,
20,G2,feces,PBS,T0,Donor B,Hexanoic acid,48.2,µg/mL,1,400,
21,G3,feces,PBS,T0,Donor B,Hexanoic acid,48.4,µg/mL,1,400,
22,H1,feces,PBS,T1,Donor B,Hexanoic acid,113.0,µg/mL,1,400,
23,H2,feces,PBS,T1,Donor B,Hexanoic acid,111.0,µg/mL,1,400,
24,H3,feces,PBS,T1,Donor B,Hexanoic acid,122.0,µg/mL,1,400,
25,I1,feces,tryptophan,T0,Donor B,Hexanoic acid,51.4,µg/mL,1,400,
26,I2,feces,tryptophan,T0,Donor B,Hexanoic acid,50.6,µg/mL,1,400,
27,I3,feces,tryptophan,T0,Donor B,Hexanoic acid,51.0,µg/mL,1,400,
28,J1,feces,tryptophan,T1,Donor B,Hexanoic acid,97.6,µg/mL,1,400,
29,J2,feces,tryptophan,T1,Donor B,Hexanoic acid,100.0,µg/mL,1,400,
30,J3,feces,tryptophan,T1,Donor B,Hexanoic acid,102.0,µg/mL,1,400,
31,K1,feces,inulin,T0,Donor B,Hexanoic acid,51.1,µg/mL,1,400,
32,K2,feces,inulin,T0,Donor B,Hexanoic acid,50.4,µg/mL,1,400,
33,K3,feces,inulin,T0,Donor B,Hexanoic acid,51.3,µg/mL,1,400,
34,L1,feces,inulin,T1,Donor B,Hexanoic acid,175.0,µg/mL,1,400,
35,L2,feces,inulin,T1,Donor B,Hexanoic acid,162.0,µg/mL,1,400,
36,L3,feces,inulin,T1,Donor B,Hexanoic acid,174.0,µg/mL,1,400,
1,A1,feces,PBS,T0,Donor A,Isobutyric acid,23.0,µg/mL,5,2000,
2,A2,feces,PBS,T0,Donor A,Isobutyric acid,21.6,µg/mL,5,2000,
3,A3,feces,PBS,T0,Donor A,Isobutyric acid,23.3,µg/mL,5,2000,
4,B1,feces,PBS,T1,Donor A,Isobutyric acid,40.3,µg/mL,5,2000,
5,B2,feces,PBS,T1,Donor A,Isobutyric acid,41.3,µg/mL,5,2000,
6,B3,feces,PBS,T1,Donor A,Isobutyric acid,40.2,µg/mL,5,2000,
7,C1,feces,tryptophan,T0,Donor A,Isobutyric acid,22.1,µg/mL,5,2000,
8,C2,feces,tryptophan,T0,Donor A,Isobutyric acid,22.5,µg/mL,5,2000,
9,C3,feces,tryptophan,T0,Donor A,Isobutyric acid,22.7,µg/mL,5,2000,
10,D1,feces,tryptophan,T1,Donor A,Isobutyric acid,37.0,µg/mL,5,2000,
11,D2,feces,tryptophan,T1,Donor A,Isobutyric acid,36.6,µg/mL,5,2000,
12,D3,feces,tryptophan,T1,Donor A,Isobutyric acid,37.9,µg/mL,5,2000,
13,E1,feces,inulin,T0,Donor A,Isobutyric acid,21.4,µg/mL,5,2000,
14,E2,feces,inulin,T0,Donor A,Isobutyric acid,22.2,µg/mL,5,2000,
15,E3,feces,inulin,T0,Donor A,Isobutyric acid,22.2,µg/mL,5,2000,
16,F1,feces,inulin,T1,Donor A,Isobutyric acid,30.4,µg/mL,5,2000,
17,F2,feces,inulin,T1,Donor A,Isobutyric acid,32.1,µg/mL,5,2000,
18,F3,feces,inulin,T1,Donor A,Isobutyric acid,32.9,µg/mL,5,2000,
19,G1,feces,PBS,T0,Donor B,Isobutyric acid,14.8,µg/mL,5,2000,
20,G2,feces,PBS,T0,Donor B,Isobutyric acid,16.7,µg/mL,5,2000,
21,G3,feces,PBS,T0,Donor B,Isobutyric acid,15.6,µg/mL,5,2000,
22,H1,feces,PBS,T1,Donor B,Isobutyric acid,42.2,µg/mL,5,2000,
23,H2,feces,PBS,T1,Donor B,Isobutyric acid,41.9,µg/mL,5,2000,
24,H3,feces,PBS,T1,Donor B,Isobutyric acid,43.6,µg/mL,5,2000,
25,I1,feces,tryptophan,T0,Donor B,Isobutyric acid,15.9,µg/mL,5,2000,
26,I2,feces,tryptophan,T0,Donor B,Isobutyric acid,15.9,µg/mL,5,2000,
27,I3,feces,tryptophan,T0,Donor B,Isobutyric acid,16.7,µg/mL,5,2000,
28,J1,feces,tryptophan,T1,Donor B,Isobutyric acid,41.5,µg/mL,5,2000,
29,J2,feces,tryptophan,T1,Donor B,Isobutyric acid,42.3,µg/mL,5,2000,
30,J3,feces,tryptophan,T1,Donor B,Isobutyric acid,43.6,µg/mL,5,2000,
31,K1,feces,inulin,T0,Donor B,Isobutyric acid,16.1,µg/mL,5,2000,
32,K2,feces,inulin,T0,Donor B,Isobutyric acid,15.0,µg/mL,5,2000,
33,K3,feces,inulin,T0,Donor B,Isobutyric acid,17.0,µg/mL,5,2000,
34,L1,feces,inulin,T1,Donor B,Isobutyric acid,18.2,µg/mL,5,2000,
35,L2,feces,inulin,T1,Donor B,Isobutyric acid,21.8,µg/mL,5,2000,
36,L3,feces,inulin,T1,Donor B,Isobutyric acid,19.1,µg/mL,5,2000,
1,A1,feces,PBS,T0,Donor A,Isovaleric acid,23.9,µg/mL,5,2000,
2,A2,feces,PBS,T0,Donor A,Isovaleric acid,26.6,µg/mL,5,2000,
3,A3,feces,PBS,T0,Donor A,Isovaleric acid,24.3,µg/mL,5,2000,
4,B1,feces,PBS,T1,Donor A,Isovaleric acid,44.8,µg/mL,5,2000,
5,B2,feces,PBS,T1,Donor A,Isovaleric acid,42.0,µg/mL,5,2000,
6,B3,feces,PBS,T1,Donor A,Isovaleric acid,44.7,µg/mL,5,2000,
7,C1,feces,tryptophan,T0,Donor A,Isovaleric acid,25.1,µg/mL,5,2000,
8,C2,feces,tryptophan,T0,Donor A,Isovaleric acid,26.1,µg/mL,5,2000,
9,C3,feces,tryptophan,T0,Donor A,Isovaleric acid,24.4,µg/mL,5,2000,
10,D1,feces,tryptophan,T1,Donor A,Isovaleric acid,45.4,µg/mL,5,2000,
11,D2,feces,tryptophan,T1,Donor A,Isovaleric acid,41.0,µg/mL,5,2000,
12,D3,feces,tryptophan,T1,Donor A,Isovaleric acid,44.0,µg/mL,5,2000,
13,E1,feces,inulin,T0,Donor A,Isovaleric acid,24.0,µg/mL,5,2000,
14,E2,feces,inulin,T0,Donor A,Isovaleric acid,24.8,µg/mL,5,2000,
15,E3,feces,inulin,T0,Donor A,Isovaleric acid,24.2,µg/mL,5,2000,
16,F1,feces,inulin,T1,Donor A,Isovaleric acid,23.4,µg/mL,5,2000,
17,F2,feces,inulin,T1,Donor A,Isovaleric acid,26.2,µg/mL,5,2000,
18,F3,feces,inulin,T1,Donor A,Isovaleric acid,26.0,µg/mL,5,2000,
19,G1,feces,PBS,T0,Donor B,Isovaleric acid,13.5,µg/mL,5,2000,
20,G2,feces,PBS,T0,Donor B,Isovaleric acid,12.7,µg/mL,5,2000,
21,G3,feces,PBS,T0,Donor B,Isovaleric acid,13.8,µg/mL,5,2000,
22,H1,feces,PBS,T1,Donor B,Isovaleric acid,36.6,µg/mL,5,2000,
23,H2,feces,PBS,T1,Donor B,Isovaleric acid,37.2,µg/mL,5,2000,
24,H3,feces,PBS,T1,Donor B,Isovaleric acid,37.4,µg/mL,5,2000,
25,I1,feces,tryptophan,T0,Donor B,Isovaleric acid,14.3,µg/mL,5,2000,
26,I2,feces,tryptophan,T0,Donor B,Isovaleric acid,13.9,µg/mL,5,2000,
27,I3,feces,tryptophan,T0,Donor B,Isovaleric acid,14.4,µg/mL,5,2000,
28,J1,feces,tryptophan,T1,Donor B,Isovaleric acid,39.3,µg/mL,5,2000,
29,J2,feces,tryptophan,T1,Donor B,Isovaleric acid,37.0,µg/mL,5,2000,
30,J3,feces,tryptophan,T1,Donor B,Isovaleric acid,39.9,µg/mL,5,2000,
31,K1,feces,inulin,T0,Donor B,Isovaleric acid,13.5,µg/mL,5,2000,
32,K2,feces,inulin,T0,Donor B,Isovaleric acid,13.5,µg/mL,5,2000,
33,K3,feces,inulin,T0,Donor B,Isovaleric acid,14.3,µg/mL,5,2000,
34,L1,feces,inulin,T1,Donor B,Isovaleric acid,14.6,µg/mL,5,2000,
35,L2,feces,inulin,T1,Donor B,Isovaleric acid,15.0,µg/mL,5,2000,
36,L3,feces,inulin,T1,Donor B,Isovaleric acid,14.2,µg/mL,5,2000,
1,A1,feces,PBS,T0,Donor A,Propionic acid,83.7,µg/mL,25,10000,
2,A2,feces,PBS,T0,Donor A,Propionic acid,82.2,µg/mL,25,10000,
3,A3,feces,PBS,T0,Donor A,Propionic acid,82.9,µg/mL,25,10000,
4,B1,feces,PBS,T1,Donor A,Propionic acid,152.0,µg/mL,25,10000,
5,B2,feces,PBS,T1,Donor A,Propionic acid,140.0,µg/mL,25,10000,
6,B3,feces,PBS,T1,Donor A,Propionic acid,162.0,µg/mL,25,10000,
7,C1,feces,tryptophan,T0,Donor A,Propionic acid,87.3,µg/mL,25,10000,
8,C2,feces,tryptophan,T0,Donor A,Propionic acid,85.0,µg/mL,25,10000,
9,C3,feces,tryptophan,T0,Donor A,Propionic acid,84.3,µg/mL,25,10000,
10,D1,feces,tryptophan,T1,Donor A,Propionic acid,162.0,µg/mL,25,10000,
11,D2,feces,tryptophan,T1,Donor A,Propionic acid,151.0,µg/mL,25,10000,
12,D3,feces,tryptophan,T1,Donor A,Propionic acid,156.0,µg/mL,25,10000,
13,E1,feces,inulin,T0,Donor A,Propionic acid,99.9,µg/mL,25,10000,
14,E2,feces,inulin,T0,Donor A,Propionic acid,103.0,µg/mL,25,10000,
15,E3,feces,inulin,T0,Donor A,Propionic acid,106.0,µg/mL,25,10000,
16,F1,feces,inulin,T1,Donor A,Propionic acid,688.0,µg/mL,25,10000,
17,F2,feces,inulin,T1,Donor A,Propionic acid,667.0,µg/mL,25,10000,
18,F3,feces,inulin,T1,Donor A,Propionic acid,683.0,µg/mL,25,10000,
19,G1,feces,PBS,T0,Donor B,Propionic acid,105.0,µg/mL,25,10000,
20,G2,feces,PBS,T0,Donor B,Propionic acid,109.0,µg/mL,25,10000,
21,G3,feces,PBS,T0,Donor B,Propionic acid,114.0,µg/mL,25,10000,
22,H1,feces,PBS,T1,Donor B,Propionic acid,256.0,µg/mL,25,10000,
23,H2,feces,PBS,T1,Donor B,Propionic acid,262.0,µg/mL,25,10000,
24,H3,feces,PBS,T1,Donor B,Propionic acid,264.0,µg/mL,25,10000,
25,I1,feces,tryptophan,T0,Donor B,Propionic acid,115.0,µg/mL,25,10000,
26,I2,feces,tryptophan,T0,Donor B,Propionic acid,120.0,µg/mL,25,10000,
27,I3,feces,tryptophan,T0,Donor B,Propionic acid,120.0,µg/mL,25,10000,
28,J1,feces,tryptophan,T1,Donor B,Propionic acid,264.0,µg/mL,25,10000,
29,J2,feces,tryptophan,T1,Donor B,Propionic acid,276.0,µg/mL,25,10000,
30,J3,feces,tryptophan,T1,Donor B,Propionic acid,270.0,µg/mL,25,10000,
31,K1,feces,inulin,T0,Donor B,Propionic acid,141.0,µg/mL,25,10000,
32,K2,feces,inulin,T0,Donor B,Propionic acid,144.0,µg/mL,25,10000,
33,K3,feces,inulin,T0,Donor B,Propionic acid,145.0,µg/mL,25,10000,
34,L1,feces,inulin,T1,Donor B,Propionic acid,988.0,µg/mL,25,10000,
35,L2,feces,inulin,T1,Donor B,Propionic acid,988.0,µg/mL,25,10000,
36,L3,feces,inulin,T1,Donor B,Propionic acid,1040.0,µg/mL,25,10000,
1,A1,feces,PBS,T0,Donor A,Valeric acid,25.5,µg/mL,5,2000,
2,A2,feces,PBS,T0,Donor A,Valeric acid,25.4,µg/mL,5,2000,
3,A3,feces,PBS,T0,Donor A,Valeric acid,25.8,µg/mL,5,2000,
4,B1,feces,PBS,T1,Donor A,Valeric acid,55.7,µg/mL,5,2000,
5,B2,feces,PBS,T1,Donor A,Valeric acid,57.3,µg/mL,5,2000,
6,B3,feces,PBS,T1,Donor A,Valeric acid,54.2,µg/mL,5,2000,
7,C1,feces,tryptophan,T0,Donor A,Valeric acid,28.1,µg/mL,5,2000,
8,C2,feces,tryptophan,T0,Donor A,Valeric acid,28.7,µg/mL,5,2000,
9,C3,feces,tryptophan,T0,Donor A,Valeric acid,25.8,µg/mL,5,2000,
10,D1,feces,tryptophan,T1,Donor A,Valeric acid,54.9,µg/mL,5,2000,
11,D2,feces,tryptophan,T1,Donor A,Valeric acid,55.7,µg/mL,5,2000,
12,D3,feces,tryptophan,T1,Donor A,Valeric acid,58.7,µg/mL,5,2000,
13,E1,feces,inulin,T0,Donor A,Valeric acid,26.6,µg/mL,5,2000,
14,E2,feces,inulin,T0,Donor A,Valeric acid,27.5,µg/mL,5,2000,
15,E3,feces,inulin,T0,Donor A,Valeric acid,26.1,µg/mL,5,2000,
16,F1,feces,inulin,T1,Donor A,Valeric acid,95.8,µg/mL,5,2000,
17,F2,feces,inulin,T1,Donor A,Valeric acid,97.3,µg/mL,5,2000,
18,F3,feces,inulin,T1,Donor A,Valeric acid,100.0,µg/mL,5,2000,
19,G1,feces,PBS,T0,Donor B,Valeric acid,37.3,µg/mL,5,2000,
20,G2,feces,PBS,T0,Donor B,Valeric acid,38.8,µg/mL,5,2000,
21,G3,feces,PBS,T0,Donor B,Valeric acid,35.7,µg/mL,5,2000,
22,H1,feces,PBS,T1,Donor B,Valeric acid,84.5,µg/mL,5,2000,
23,H2,feces,PBS,T1,Donor B,Valeric acid,89.8,µg/mL,5,2000,
24,H3,feces,PBS,T1,Donor B,Valeric acid,89.7,µg/mL,5,2000,
25,I1,feces,tryptophan,T0,Donor B,Valeric acid,38.5,µg/mL,5,2000,
26,I2,feces,tryptophan,T0,Donor B,Valeric acid,40.4,µg/mL,5,2000,
27,I3,feces,tryptophan,T0,Donor B,Valeric acid,40.2,µg/mL,5,2000,
28,J1,feces,tryptophan,T1,Donor B,Valeric acid,83.4,µg/mL,5,2000,
29,J2,feces,tryptophan,T1,Donor B,Valeric acid,84.1,µg/mL,5,2000,
30,J3,feces,tryptophan,T1,Donor B,Valeric acid,90.5,µg/mL,5,2000,
31,K1,feces,inulin,T0,Donor B,Valeric acid,38.6,µg/mL,5,2000,
32,K2,feces,inulin,T0,Donor B,Valeric acid,38.4,µg/mL,5,2000,
33,K3,feces,inulin,T0,Donor B,Valeric acid,38.1,µg/mL,5,2000,
34,L1,feces,inulin,T1,Donor B,Valeric acid,75.9,µg/mL,5,2000,
35,L2,feces,inulin,T1,Donor B,Valeric acid,75.5,µg/mL,5,2000,
36,L3,feces,inulin,T1,Donor B,Valeric acid,75.4,µg/mL,5,2000,
