id	organism	seedid	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	ncbiid	platform	kbaseid	kingdom	phylum	class	order	family	genus	species	file
Actinomyces_odontolyticus_ATCC_17982	Actinomyces odontolyticus ATCC 17982	Actinomyces odontolyticus ATCC 17982 (411466.7)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	577	1741	1079	Ines Thiele	06/29/12	411466	Kbase		Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia odontolytica	agora/Actinomyces_odontolyticus_ATCC_17982.xml
Actinomyces_oris_K20	Actinomyces oris K20		Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	534	1148	927	chenry	04/15/16	871541	ModelSEED	kb|g.27961	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces oris	agora/Actinomyces_oris_K20.xml
Actinomyces_turicensis_ACS_279_V_Col4	Actinomyces turicensis ACS-279-V-Col4	Actinomyces turicensis ACS-279-V-Col4 (883077.3)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	591	1129	887	chenry	04/15/16	883077	ModelSEED	kb|g.28017	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia turicensis	agora/Actinomyces_turicensis_ACS_279_V_Col4.xml
Actinomyces_urogenitalis_DSM_15434	Actinomyces urogenitalis DSM 15434	Actinomyces urogenitalis DSM 15434 (525246.3)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	690	1247	946	chenry	04/15/16	525246	Kbase	kb|g.1979	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces urogenitalis	agora/Actinomyces_urogenitalis_DSM_15434.xml
Actinomyces_viscosus_C505	Actinomyces viscosus  C505	Actinomyces viscosus C505 (562973.4)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	722	1234	956	chenry	04/15/16	562973	Kbase	kb|g.2332	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces viscosus	agora/Actinomyces_viscosus_C505.xml
Adlercreutzia_equolifaciens_DSM_19450	Adlercreutzia equolifaciens DSM 19450		Obligate anaerobe	Asaccharolytic, nonfermentative	Positive	Commensal	590	942	813	chenry	09/09/14	1384484	Kbase		Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia	Adlercreutzia equolifaciens	agora/Adlercreutzia_equolifaciens_DSM_19450.xml
Aerococcus_viridans_ATCC_11563	Aerococcus viridans ATCC 11563	Aerococcus viridans ATCC 11563 (655812.3)	Facultative anaerobe	Saccharolytic, fermentative	Positive		667	1209	941	Laura Kutt	04/17/16	655812	Kbase	kb|g.2789	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus viridans	agora/Aerococcus_viridans_ATCC_11563.xml
Aeromonas_caviae_Ae398	Aeromonas caviae Ae398	Aeromonas caviae Ae398 (878320.4)	Facultative anaerobe	Saccharolytic, fermentative	Negative		1090	1569	1122	Laura Kutt	04/18/16	878320	Kbase	kb|g.3542	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas caviae	agora/Aeromonas_caviae_Ae398.xml
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonas hydrophila subsp. hydrophila ATCC 7966 (380703.5)	Facultative anaerobe	Saccharolytic, fermentative	Negative		1105	1588	1140	Laura Kutt	04/18/16	380703	Kbase	kb|g.26547	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila	agora/Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966.xml
Aeromonas_jandaei_Riv2	Aeromonas jandaei Riv2		Facultative anaerobe	Saccharolytic, fermentative	Negative		988	1511	1090	Laura Kutt	04/18/16	1458276	Kbase	kb|g.239699	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas jandaei	agora/Aeromonas_jandaei_Riv2.xml
Aeromonas_media_WS	Aeromonas media WS		Facultative anaerobe	Saccharolytic, fermentative	Negative		1013	1543	1125	Laura Kutt	04/18/16	1208104	Kbase	kb|g.239700	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas media	agora/Aeromonas_media_WS.xml
Aeromonas_veronii_B565	Aeromonas veronii B565	Aeromonas veronii B565 (998088.4)	Facultative anaerobe	Saccharolytic, non-fermentative	Negative		1084	1559	1128	Laura Kutt	04/18/16	998088	Kbase	kb|g.3886	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	agora/Aeromonas_veronii_B565.xml
Afipia_birgiae_34632	Afipia birgiae 34632	Afipia birgiae 34632 (1197906.5)	Obligate aerobe	Respiratory	Negative		1178	1482	1113	Laura Kutt	04/18/16	1197906	Kbase	kb|g.25402	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia	Afipia birgiae	agora/Afipia_birgiae_34632.xml
Aggregatibacter_aphrophilus_NJ8700	Aggregatibacter aphrophilus NJ8700	Aggregatibacter aphrophilus NJ8700 (634176.4)	Aerobe	Respiratory	Negative		730	1294	998	Laura Kutt	04/19/16	634176	Kbase	kb|g.2675	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter aphrophilus	agora/Aggregatibacter_aphrophilus_NJ8700.xml
Agrobacterium_tumefaciens_F2	Agrobacterium tumefaciens F2	Agrobacterium tumefaciens F2 (1050720.3)	Aerobe	Respiratory	Negative		1290	1562	1169			1050720	Kbase	kb|g.23531	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	agora/Agrobacterium_tumefaciens_F2.xml
Akkermansia_muciniphila_ATCC_BAA_835	Akkermansia muciniphila ATCC BAA-835	Akkermansia muciniphila ATCC BAA-835 (349741.6)	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	643	2274	1275	Eugen Bauer	08/03/14	349741	Kbase		Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	agora/Akkermansia_muciniphila_ATCC_BAA_835.xml
Alcaligenes_faecalis_subsp_faecalis_NBRC_13111	Alcaligenes faecalis subsp. faecalis NBRC 13111		Aerobe	Respiratory	Negative		988	1531	1127	Laura Kutt	04/18/16	1218102	Kbase	kb|g.239717	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes faecalis	agora/Alcaligenes_faecalis_subsp_faecalis_NBRC_13111.xml
Alcaligenes_faecalis_subsp_faecalis_NCIB_8687	Alcaligenes faecalis subsp. faecalis NCIB 8687	Alcaligenes faecalis subsp. faecalis NCIB 8687 (1156918.4)	Aerobe	Respiratory	Negative		1059	1491	1103	Laura Kutt	05/30/16	1156918	Kbase	kb|g.24921	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes faecalis	agora/Alcaligenes_faecalis_subsp_faecalis_NCIB_8687.xml
Alistipes_finegoldii_DSM_17242	Alistipes finegoldii DSM 17242	Alistipes finegoldii DSM 17242 (679935.3)	Obligate anaerobe	Saccharolytic, fermentative	Negative		668	1147	883	Laura Kutt	04/17/16	679935	Kbase	kb|g.27343	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii	agora/Alistipes_finegoldii_DSM_17242.xml
Alistipes_indistinctus_YIT_12060	Alistipes indistinctus YIT 12060	Alistipes indistinctus YIT 12060 (742725.3)	Obligate anaerobe	Saccharolytic, fermentative	Negative		703	2185	1393	Laura Kutt	04/17/16	742725	ModelSEED	kb|g.27472	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes indistinctus	agora/Alistipes_indistinctus_YIT_12060.xml
Alistipes_onderdonkii_DSM_19147	Alistipes onderdonkii DSM 19147	Alistipes onderdonkii DSM 19147 (1120974.3)	Obligate anaerobe	Saccharolytic, fermentative	Negative		662	1101	899	Laura Kutt	04/17/16	1203611	ModelSEED	kb|g.29550	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii	agora/Alistipes_onderdonkii_DSM_19147.xml
Alistipes_putredinis_DSM_17216	Alistipes putredinis DSM 17216	Alistipes putredinis DSM 17216 (445970.5)	Obligate anaerobe	Weakly saccharolytic, fermentative	Negative	Commensal	421	858	721	chenry	09/09/14	445970	Kbase	kb|g.1522	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes putredinis	agora/Alistipes_putredinis_DSM_17216.xml
Alistipes_shahii_WAL_8301	Alistipes shahii WAL 8301	Alistipes shahii WAL 8301 (717959.3)	Obligate anaerobe	Saccharolytic, fermentative	Negative		668	2225	1262	Laura Kutt	04/17/16	717959	Kbase	kb|g.3099	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii	agora/Alistipes_shahii_WAL_8301.xml
Alloprevotella_tannerae_ATCC_51259	Alloprevotella tannerae ATCC 51259		Obligate anaerobe	Saccharolytic, fermentative	Negative		809	893	770	Laura Kutt	04/17/16	626522	Kbase	kb|g.2651	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella tannerae	agora/Alloprevotella_tannerae_ATCC_51259.xml
Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850	Anaerobaculum hydrogeniformans OS1, ATCC BAA-1850	Anaerobaculum hydrogeniformans ATCC BAA-1850 (592015.5)	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	670	1030	825	Ines Thiele	06/29/12	649746	Kbase		Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Acetomicrobium	Acetomicrobium hydrogeniformans	agora/Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850.xml
Anaerobiospirillum_succiniciproducens_DSM_640001	Anaerobiospirillum succiniciproducens DSM 640001		Anaerobe	Asaccharolytic	Negative		563	1127	919	Laura Kutt	04/19/16	1120988	Kbase	kb|g.207031	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Anaerobiospirillum	Anaerobiospirillum succiniciproducens	agora/Anaerobiospirillum_succiniciproducens_DSM_640001.xml
Anaerococcus_hydrogenalis_DSM_7454	Anaerococcus hydrogenalis DSM 7454	Anaerococcus hydrogenalis DSM 7454 (561177.4)	Obligate anaerobe	Weakly saccharolytic, fermentative	Positive	Commensal	582	873	696	Ines Thiele	06/29/12	561177	Kbase		Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus hydrogenalis	agora/Anaerococcus_hydrogenalis_DSM_7454.xml
Anaerococcus_prevotii_DSM_20548	Anaerococcus prevotii DSM 20548	Anaerococcus prevoti prevotii DSM 20548 (525919.4)	Obligate anaerobe	Saccharolytic, fermentative	Positive		537	1060	809	Laura Kutt	04/18/16	525919	Kbase	kb|g.2043	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus prevotii	agora/Anaerococcus_prevotii_DSM_20548.xml
Anaerococcus_vaginalis_ATCC_51170	Anaerococcus vaginalis ATCC 51170	Anaerococcus vaginalis ATCC 51170 (655811.4)	Obligate anaerobe	Saccharolytic, fermentative	Positive		515	1119	859	Laura Kutt	04/18/16	655811	Kbase	kb|g.2788	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus vaginalis	agora/Anaerococcus_vaginalis_ATCC_51170.xml
Anaerofustis_stercorihominis_DSM_17244	Anaerofustis stercorihominis DSM 17244	Anaerofustis stercorihominis DSM 17244 (445971.6)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	587	986	847	Eugen Bauer	08/03/14	445971	ModelSEED		Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis	Anaerofustis stercorihominis	agora/Anaerofustis_stercorihominis_DSM_17244.xml
Anaerostipes_caccae_DSM_14662	Anaerostipes caccae DSM 14662	Anaerostipes caccae DSM 14662 (411490.6)	Obligate anaerobe	Saccharolytic, fermentative, acetate and lactate converted to butyrate	Positive	Commensal	978	1617	1221	Ines Thiele	08/06/12	411490	ModelSEED		Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae	agora/Anaerostipes_caccae_DSM_14662.xml
Anaerostipes_hadrus_DSM_3319	Anaerostipes hadrus DSM 3319	Anaerostipes hadrus DSM 3319 (649757.3)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	812	1704	1227	chenry	09/10/14	649757	Kbase	kb|g.32259	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus	agora/Anaerostipes_hadrus_DSM_3319.xml
Anaerostipes_sp_3_2_56FAA	Anaerostipes sp. 3_2_56FAA	Anaerostipes sp. 3_2_56FAA (665937.3)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	1002	1138	942	Ines Thiele	06/29/12	665937	Kbase		Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae	agora/Anaerostipes_sp_3_2_56FAA.xml
Anaerotruncus_colihominis_DSM_17241	Anaerotruncus colihominis DSM 17241	Anaerotruncus colihominis DSM 17241 (445972.6)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	754	1090	887	Ines Thiele	04/20/12	445972	Kbase		Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis	agora/Anaerotruncus_colihominis_DSM_17241.xml
Aneurinibacillus_aneurinilyticus_ATCC_12856	Aneurinibacillus aneurinilyticus ATCC 12856		Aerobe	Saccharolytic	Positive		1076	1510	1142	Laura Kutt	04/18/16	649747	Kbase	kb|g.216026	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus aneurinilyticus	agora/Aneurinibacillus_aneurinilyticus_ATCC_12856.xml
Arcanobacterium_haemolyticum_DSM_20595	Arcanobacterium haemolyticum DSM 20595	Arcanobacterium haemolyticum DSM 20595 (644284.3)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	510	1056	847	chenry	04/15/16	644284	Kbase	kb|g.2746	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium haemolyticum	agora/Arcanobacterium_haemolyticum_DSM_20595.xml
Arcobacter_butzleri_RM4018	Arcobacter butzleri RM4018	Arcobacter butzleri RM4018 (367737.4)	Microaerophile	Non-fermentative, asaccharolytic	Negative		634	1081	902	Laura Kutt	04/18/16	367737	Kbase	kb|g.1095	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	Arcobacter butzleri	agora/Arcobacter_butzleri_RM4018.xml
Arthrobacter_castelli_DSM_16402	Arthrobacter castelli DSM 16402		Aerobe	Asaccharolytic, nonfermentative	Positive	Uncharacterized	1019	1428	1109	chenry	04/15/16	1121019	Kbase	kb|g.207043	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter castelli	agora/Arthrobacter_castelli_DSM_16402.xml
Atopobium_minutum_10063974	Atopobium minutum 10063974	Atopobium minutum 10063974 (997872.3)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	468	1007	807	chenry	04/15/16	997872	Kbase	kb|g.32451	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	Atopobium minutum	agora/Atopobium_minutum_10063974.xml
Atopobium_parvulum_DSM_20469	Atopobium parvulum DSM 20469	Atopobium parvulum DSM 20469 (521095.5)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	440	994	782	chenry	04/15/16	521095	Kbase	kb|g.1956	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella	Lancefieldella parvula	agora/Atopobium_parvulum_DSM_20469.xml
Atopobium_rimae_ATCC_49626	Atopobium rimae ATCC 49626	Atopobium rimae ATCC 49626 (553184.4)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	480	1054	853	chenry	04/15/16	553184	Kbase	kb|g.2245	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella	Lancefieldella rimae	agora/Atopobium_rimae_ATCC_49626.xml
Bacillus_altitudinis_41KF2b	Bacillus altitudinis 41KF2b		Facultative anaerobe	Respiration or fermentation of carbohydrates and central metabolism intermediates	Positive		969	1603	1153	Laura Kutt	04/17/16	1178544	Kbase	kb|g.239788	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus altitudinis	agora/Bacillus_altitudinis_41KF2b.xml
Bacillus_amyloliquefaciens_DSM7	Bacillus amyloliquefaciens DSM7	Bacillus amyloliquefaciens DSM7 (692420.6)	Aerobe	Respiration or fermentation of carbohydrates and central metabolism intermediates	Positive		1101	1655	1176			692420	Kbase	kb|g.2986	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus amyloliquefaciens	agora/Bacillus_amyloliquefaciens_DSM7.xml
Bacillus_amyloliquefaciens_subsp_amyloliquefaciens_DC_12	Bacillus amyloliquefaciens subsp. amyloliquefaciens DC-12		Aerobe	Respiration or fermentation of carbohydrates and central metabolism intermediates	Positive		1022	1666	1191			1198291	Kbase	kb|g.207940	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus amyloliquefaciens	agora/Bacillus_amyloliquefaciens_subsp_amyloliquefaciens_DC_12.xml
Bacillus_atrophaeus_ATCC_49822_1	Bacillus atrophaeus ATCC 49822-1	Bacillus atrophaeus ATCC 49822-1 (743710.3)	Aerobe	Respiration or fermentation of carbohydrates and central metabolism intermediates	Positive		1143	1665	1177	Laura Kutt	04/17/16	743710	Kbase	kb|g.3133	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus atrophaeus	agora/Bacillus_atrophaeus_ATCC_49822_1.xml
Bacillus_cereus_AH187_F4810_72	Bacillus cereus AH187 (F4810/72)	Bacillus cereus AH187 (405534.9)	Facultative anaerobe	Respiration or fermentation of carbohydrates and central metabolism intermediates	Positive	Commensal	1127	1573	1114	Eugen Bauer	08/03/14	405534	Kbase		Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	agora/Bacillus_cereus_AH187_F4810_72.xml
