,Treatment,Rep,Sequencing Run,Plate,Row,Column,OD,Acetate,Butyrate,Lactate,Succinate,ER,FP,AC,HB,CC,RI,DP,BH,CA,PC,DL,CG,BF,EL,CH,BO,BT,BU,BV,BC,BY,PJ,DF,BL,BP,BA,BA Fraction,CA Fraction,BT Fraction,BU Fraction,PC Fraction,AC Fraction,BH Fraction,CC Fraction,CG Fraction,ER Fraction,DP Fraction,EL Fraction,BY Fraction,BF Fraction,CD Fraction,RI Fraction,BP Fraction,BV Fraction,CH Fraction,DF Fraction,CS Fraction,PJ Fraction,FP Fraction,EH Fraction,EC Fraction,BC Fraction,HB Fraction,BO Fraction,DL Fraction,BL Fraction,B.cereus Fraction,Total,Unclassified,Contamination?,Experiment No.,Peak30,Peak32,Peak35,Peak41,pH
10,DL-ER,0,MiSeqOSV003,19,C,2,1.361966667,43.2418,0.4184,58.9423,9.0376,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000357334,0,0.003216009,0.000357334,0,0,0,0.004645346,0,0,0,0.000357334,0.000536001,0,0.000178667,0.000178667,0.000178667,0,0,0,0.000178667,0,0,0,0,0,0.989815973,0,0,5597,0,No,2,,,,,
11,CG-ER,0,MiSeqOSV003,19,D,2,0.904366667,40.1379,13.054,46.7278,8.3494,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018943,0,0.00018943,0.00018943,0.00018943,0,0,0.00018943,0.652017428,0.341352529,0,0,0,0.00018943,0,0.00018943,0,0,0.003978026,0,0,0,0.001326009,0,0,0,0,0,0,0,0,5286,7,No,2,,,,,
12,BF-ER,0,MiSeqOSV003,19,E,2,1.287966667,17.6279,17.1484,36.414,33.6466,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000167336,0,0,0,0,0.000167336,0.003514056,0.115963855,0,0,0,0.879852744,0,0,0,0,0,0,0,0.000167336,0.000167336,0,0,0,0,0,0,0,0,5979,3,No,2,,,,,
13,EL-ER,0,MiSeqOSV003,19,F,2,1.265566667,31.4756,28.5302,58.8247,8.4442,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.744794651,0,0,0,0.000191022,0.000573066,0,0.000764088,0.000764088,0.106017192,0,0.144412607,0,0.000191022,0,0.000382044,0,0,0.001146132,0.000191022,0,0.000573066,0,0,0,0,0,0,0,0,0,5237,2,Yes,2,,,,,
14,CH-ER,0,MiSeqOSV003,19,G,2,0.807566667,26.792,28.0946,48.0614,7.9856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.014621507,0,0,0,0,0.000185082,0,0,0,0.551545438,0,0.001850824,0,0,0,0,0.000185082,0,0.431426985,0,0,0,0.000185082,0,0,0,0,0,0,0,0,5408,5,Yes,2,,,,,
15,BO-ER,0,MiSeqOSV003,19,H,2,1.405966667,26.2989,8.6202,38.2469,42.4989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265675,0,0,0,0.00053135,0,0.231668438,0,0,0.000265675,0,0.001062699,0,0,0,0.003453773,0,0,0,0,0,0,0,0,0.756376196,0,0.006376196,0,4212,448,No,2,,,,,
16,BT-ER,0,MiSeqOSV003,19,A,3,1.411166667,28.5918,5.3398,56.7745,36.7881,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.875571982,0.000175994,0,0,0,0.000175994,0,0.123196058,0,0,0,0,0.000351989,0,0,0,0,0.000175994,0,0,0,0,0,0.000351989,0,0,0,0,0,5685,3,No,2,,,,,
17,BU-ER,0,MiSeqOSV003,19,B,3,1.036566667,7.7676,22.2081,59.2881,22.6055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.694454073,0,0.00017331,0,0.000519931,0,0.297400347,0,0,0,0.00034662,0.00017331,0,0,0.006585789,0,0,0,0,0,0,0,0.00034662,0,0,0,0,0,5773,3,No,2,,,,,
18,BV-ER,0,MiSeqOSV003,19,C,3,1.394766667,37.2054,1.1084,27.906,53.3207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000294291,0,0,0,0.003678634,0,0,0,0.000147145,0.000147145,0,0,0.97292525,0,0,0,0,0,0,0,0,0,0,0.022807534,0,0,6796,0,Yes,2,,,,,
19,BC-ER,0,MiSeqOSV003,19,D,3,1.524766667,35.8403,1.5319,43.94,48.7171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.01600346,0,0,0.000144175,0,0,0,0.000144175,0,0.005046136,0,0,0.003604383,0.000144175,0.000144175,0,0,0,0,0,0,0,0,0,0.000144175,0.973904268,0,0,0.000720877,0,0,6938,2,Yes,2,,,,,
20,BY-ER,0,MiSeqOSV003,19,E,3,1.128566667,0,15.1123,48.8041,26.1739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.000159185,0,0,0,0.257561286,0,0,0.741006049,0,0,0,0.000159185,0,0,0,0,0.00095511,0,0,0,0.000159185,0,0,0,0,0,6287,5,No,2,,,,,
21,PJ-ER,0,MiSeqOSV003,19,F,3,0.843366667,7.4919,34.4075,51.096,24.2358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.002309824,0,0,0,0,0,0,0.000307977,0,0.450723745,0,0.000153988,0,0.000153988,0.000153988,0.000153988,0,0,0.002309824,0.002463813,0,0.541268864,0,0,0,0,0,0,0,0,0,6498,4,No,2,,,,,
22,DF-ER,0,MiSeqOSV003,19,G,3,0.501566667,23.5208,20.4448,58.6899,10.0624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000142511,0,0,0,0,0.000142511,0,0.000285022,0,0.487245262,0,0.000142511,0,0,0.000427533,0,0,0,0.000570044,0.509476984,0,0.001282599,0,0,0,0.000142511,0,0,0.000142511,0,0,7027,10,No,2,,,,,
23,BL-ER,0,MiSeqOSV003,19,H,3,1.148766667,24.3342,24.9172,44.1762,7.8007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000412712,0,0,0,0,0,0,0,0.552208007,0,0,0.014857615,0,0,0,0,0,0,0.009286009,0,0,0,0,0,0,0,0,0,0.423235658,0,4866,20,Yes,2,,,,,
24,BP-ER,0,MiSeqOSV003,19,A,4,1.282166667,61.1995,0.7309,57.9289,8.303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000153941,0,0,0,0,0.000461823,0,0,0,0.004310345,0.000153941,0,0.024784483,0,0.000153941,0,0.969827586,0,0,0,0,0,0,0,0,0,0,0.000153941,0,0,0,6499,3,Yes,2,,,,,
25,BA-ER,0,MiSeqOSV003,19,B,4,0.835366667,49.2108,1.4761,49.7069,7.2562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.989492827,0,0,0,0.000202061,0.000404122,0.000202061,0.000404122,0,0.00788038,0,0,0,0.000202061,0.000606183,0,0.000202061,0.000202061,0,0,0,0,0,0,0,0.000202061,0,0,0,0,0,4949,0,No,2,,,,,
26,ER-FP,0,MiSeqOSV003,,,,0.910366667,0,20.4444,35.5516,9.0744,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LowReads,2,,,,,
27,FP,0,MiSeqOSV003,19,D,4,0.781566667,0,26.0659,42.9937,13.2329,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072692,0.000242307,0,0.000242307,0.000242307,0.919554156,0,0.000484614,0,0.030530652,0,0,0,0,0,0,0.000484614,0,0,0,0,0,0.047492125,0,0,0,0,0,0,0,0,4128,1,Yes,2,,,,,
28,AC-FP,0,MiSeqOSV003,19,E,4,0.659566667,2.7682,28.3078,47.8327,12.3695,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000236686,0,0,0,0.939881657,0,0.000236686,0,0.000710059,0,0,0.000236686,0,0.000473373,0,0,0.028639053,0,0,0,0,0.029349112,0,0,0,0,0,0.000236686,0,0,4225,0,Yes,2,,,,,
29,FP-HB,0,MiSeqOSV003,19,F,4,1.653366667,2.6808,57.4259,35.9417,13.4318,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395793951,0,0.600897921,0.000236295,0,0,0,0,0,0.00047259,0.000236295,0,0,0,0,0,0,0.002362949,0,0,0,0,0,0,0,0,4240,8,Yes,2,,,,,
30,CC-FP,0,MiSeqOSV003,19,G,4,1.941766667,31.8664,21.9834,75.9997,12.0343,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000254388,0,0,0.000254388,0,0.993131519,0,0.000254388,0,0,0,0,0.000508776,0,0.000254388,0.000254388,0,0,0,0,0.004833376,0,0,0,0,0.000254388,0,0,0,3931,0,No,2,,,,,
31,FP-RI,0,MiSeqOSV003,19,H,4,0.843566667,2.6078,28.2707,40.6326,11.9254,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000279486,0,0,0.844046954,0,0,0,0.056735606,0,0,0,0,0.000558971,0.085522638,0.000279486,0,0,0,0,0,0.012576859,0,0,0,0,0,0,0,0,3583,5,Yes,2,,,,,
32,DP-FP,0,MiSeqOSV003,19,A,5,0.517366667,0,13.9168,35.4552,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519527235,0.000171292,0.000171292,0,0.000342583,0.477046934,0,0,0,0.000171292,0,0.000171292,0,0,0,0,0,0.001199041,0,0,0,0,0.001199041,0,0,0,5843,5,Yes,2,,,,,
33,BH-FP,0,MiSeqOSV003,19,B,5,1.672966667,34.4807,45.1348,8.5845,13.9627,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017652607,0,0,0.579571486,0.382023986,0,0,0.000269505,0,0,0,0.000134753,0.000269505,0,0,0.000134753,0,0,0,0,0.019943404,0,0,0,0,0,0,0,0,7422,1,Yes,2,,,,,
34,CA-FP,0,MiSeqOSV003,19,C,5,1.377566667,0,23.8276,33.489,10.7584,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754796001,0.000135099,0,0.000135099,0.243717914,0,0,0,0.000135099,0,0,0,0,0,0,0,0,0,0,0,0,0.001080789,0,0,0,0,0,0,0,0,7403,1,Yes,2,,,,,
35,PC-FP,0,MiSeqOSV003,19,D,5,1.647366667,8.0997,36.07,18.9599,38.2141,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000140489,0,0,0.744169711,0.253441978,0.000421467,0.000140489,0,0.000140489,0.000140489,0,0,0,0.000421467,0,0,0,0,0,0,0,0.000842933,0,0,0,0,0,0.000140489,0,0,7118,0,Yes,2,,,,,
36,DL-FP,0,MiSeqOSV003,19,E,5,2.187566667,23.1801,0.6989,62.0896,9.7028,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037237,0,0,0.007075033,0,0,0,0.000186185,0,0,0,0.000186185,0,0,0,0,0,0.000186185,0,0,0.004654627,0,0,0,0,0,0.987339415,0,0,5374,3,No,2,,,,,
37,CG-FP,0,MiSeqOSV003,19,F,5,1.432766667,32.3178,40.4587,5.0265,13.6597,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070030375,0,0,0.776577793,0.058218022,0,0,0,0,0.000337496,0,0,0,0,0,0,0,0.094836315,0,0,0,0,0,0,0,0,5927,1,Yes,2,,,,,
38,BF-FP,0,MiSeqOSV003,19,G,5,1.360566667,26.1589,5.6973,28.2168,40.3355,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014497,0.000289939,0,0,0,0.000579878,0.000289939,0.00014497,0,0.000579878,0,0,0,0.918527109,0.00014497,0,0,0,0,0,0,0.00014497,0.079153378,0,0,0,0,0,0,0,0,6898,0,No,2,,,,,
39,EL-FP,0,MiSeqOSV003,19,H,5,1.627566667,21.68,59.8255,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0,0,6,0,LowReads,2,,,,,
40,CH-FP,0,MiSeqOSV003,19,A,6,1.272966667,9.0591,60.7366,0,8.2993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000211238,0,0,0.000422476,0.050485847,0,0.000211238,0,0.687790452,0,0,0,0,0,0,0,0,0.239332488,0,0,0,0.021546261,0,0,0,0,0,0,0,0,4739,5,Yes,2,,,,,
41,BO-FP,0,MiSeqOSV003,19,B,6,1.351366667,28.3785,3.444,30.5382,45.2147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000737327,0.000184332,0,0.006451613,0,0.000184332,0,0.000737327,0,0,0,0,0,0,0,0,0,0,0,0,0.031336406,0,0,0.000184332,0,0.960184332,0,0,0,5537,112,No,2,,,,,
42,BT-FP,0,MiSeqOSV003,19,C,6,1.385166667,30.9312,0.1239,80.526,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.000223614,0.986806798,0,0,0.000223614,0,0,0,0.000447227,0,0,0,0.000223614,0,0,0,0,0,0,0,0,0.011404293,0,0,0.000223614,0,0.000447227,0,0,0,4472,0,No,2,,,,,
43,BU-FP,0,MiSeqOSV003,19,D,6,1.404966667,0,28.3531,46.2614,16.1889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000443361,0.000886721,0.457104855,0.002438484,0.450232764,0,0,0,0.062735535,0,0,0,0.00022168,0.000443361,0,0,0.005320328,0,0,0,0,0.01995123,0,0,0,0,0.00022168,0,0,0,4518,7,Yes,2,,,,,
44,BV-FP,0,MiSeqOSV003,19,E,6,1.425966667,34.0197,3.5738,25.0074,53.328,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,4,0,LowReads,2,,,,,
45,BC-FP,0,MiSeqOSV003,19,F,6,1.423966667,31.6562,0.1969,36.134,48.5135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000320307,0.000640615,0,0,0.000320307,0,0,0.000320307,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004484305,0,0,0.993914158,0,0,0,0,0,3122,0,No,2,,,,,
46,BY-FP,0,MiSeqOSV003,19,G,6,1.253166667,41.9398,25.2258,59.9985,12.2686,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000195198,0,0,0.443685341,0,0.000195198,0,0.123365216,0,0.000195198,0.39898497,0.000195198,0.000390396,0,0,0,0,0,0,0,0.032598087,0,0,0.000195198,0,0,0,0,0,5131,8,Yes,2,,,,,
47,PJ-FP,0,MiSeqOSV003,19,H,6,1.457566667,11.8714,33.295,0,30.4448,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25947809,0,0,0.000246184,0.052929591,0,0,0,0,0,0,0,0,0,0,0,0.652880355,0.03446578,0,0,0,0,0,0,0,0,4068,6,Yes,2,,,,,
48,DF-FP,0,MiSeqOSV003,19,A,7,1.134966667,6.2287,44.8567,20.4117,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000284576,0,0.000284576,0.275327262,0,0.000142288,0,0.001138304,0,0,0,0,0,0.000142288,0,0,0,0.719123506,0,0.000142288,0.003272624,0,0,0,0,0.000142288,0,0,0,7029,1,Yes,2,,,,,
49,BL-FP,0,MiSeqOSV003,19,B,7,1.366366667,0,27.7339,24.0345,11.7849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000126791,0,0.299606948,0,0,0,0.139343223,0,0.000126791,0.042094586,0,0.000126791,0,0.000126791,0.000126791,0,0.000507164,0,0,0.026879675,0,0,0,0,0.000126791,0,0.490680867,0.000126791,7942,55,Yes,2,,,,,
50,BP-FP,0,MiSeqOSV003,19,C,7,1.194966667,51.7727,3.2086,55.9201,10.1211,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.001180638,0,0,0,0,0.027508855,0,0,0,0.000236128,0,0,0.023140496,0.000118064,0.000118064,0,0.945218418,0.000236128,0,0.000118064,0,0,0.002125148,0,0,0,0,0,0,0,0,8474,4,Yes,2,,,,,
51,BA-FP,0,MiSeqOSV003,19,D,7,0.771966667,58.7179,1.3111,60.6398,8.3914,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.989672763,0,0,0,0.000124425,0.003608312,0,0.000497698,0,0,0,0,0,0.000124425,0.000248849,0,0,0.000248849,0,0,0,0,0.005225831,0,0,0,0,0.000248849,0,0,0,8037,0,No,2,,,,,
52,AC-ER,0,MiSeqOSV003,,,,0.699166667,2.5371,30.7701,45.3369,9.0187,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LowReads,2,,,,,
53,AC-FP,0,MiSeqOSV003,,,,0.712966667,0,30.1087,37.4753,8.3739,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LowReads,2,,,,,
54,AC,0,MiSeqOSV003,19,G,7,0.944966667,5.4151,27.5384,44.3716,9.287,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000141643,0,0.000283286,0.94305949,0,0.000141643,0,0.055382436,0.000283286,0,0,0.000141643,0,0,0.000141643,0.000141643,0,0,0,0,0.000283286,0,0,0,0,0,0,0,0,7065,5,Yes,2,,,,,
55,AC-HB,0,MiSeqOSV003,19,H,7,1.625366667,2.4303,75.0358,21.5727,7.1753,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66E-05,0,0,0,0,0.456301304,9.66E-05,0.540028972,0.000965717,9.66E-05,0,0,0,0,9.66E-05,0,0,9.66E-05,0,0,0,0,0,0,0,0,0.001062289,0,0.001062289,9.66E-05,0,10393,38,Yes,2,,,,,
56,AC-CC,0,MiSeqOSV003,19,A,8,1.868766667,3.17,48.1202,23.4986,7.8871,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002969562,0.000185598,0,0,0,0.512063846,0,0.478841871,0,0,0,0.001113586,0,0.004268745,0.000371195,0,0,0,0,0,0,0,0,0,0,0,0,0.000185598,0,0,0,5412,24,No,2,,,,,
57,AC-RI,0,MiSeqOSV003,19,B,8,0.832966667,0,26.181,42.8618,11.5681,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00702754,0,0,0,0,0.989363723,0,0.000189934,0,0,0,0,0,0,0.000379867,0.002659069,0.000189934,0.000189934,0,0,0,0,0,0,0,0,0,0,0,0,0,5265,0,No,2,,,,,
58,DP-AC,0,MiSeqOSV003,19,C,8,0.458966667,34.8326,13.5918,45.0565,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000164826,0,0,0.394923356,0,0.000164826,0,0,0.604252514,0,0,0.000164826,0,0.000164826,0,0,0,0,0,0,0,0,0,0,0,0,0.000164826,0,0,6071,4,No,2,,,,,
59,BH-AC,0,MiSeqOSV003,19,D,8,1.161566667,0,32.4336,34.5813,8.4979,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000358102,0,0.000179051,0.980125336,0.018621307,0.000179051,0,0,0,0,0,0,0.000179051,0,0,0.000179051,0,0.000179051,0,0,0,0,0,0,0,0,0,0,0,5585,0,No,2,,,,,
60,CA-AC,0,MiSeqOSV003,19,E,8,1.135966667,0,30.6418,37.4885,9.4046,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192604,0.481124807,0,0,0.004044684,0.514060092,0,0,0,0.000192604,0,0,0.000192604,0,0.000192604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5192,0,No,2,,,,,
61,PC-AC,0,MiSeqOSV003,19,F,8,1.732966667,14.1012,37.5953,20.6891,39.8864,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000359583,0,0,0,0.671161453,0.328119382,0,0.000179791,0,0,0,0,0,0,0.000179791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5564,2,No,2,,,,,
62,DL-AC,0,MiSeqOSV003,19,G,8,2.426566667,24.8766,43.7658,16.6249,9.1878,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540140585,0,0.00018498,0,0,0.00018498,0,0,0.00018498,0.000554939,0,0,0,0,0.00018498,0,0,0,0,0,0,0,0,0.458564558,0,0,5420,14,No,2,,,,,
